Date,BullPrev,BearPrev,BullVar,BearVar,BullWords,BearWords,10BullVar,10BearVar
3/14/2019,35,37,-23.91304348,105.5555556,46,30,-239.1304348,1055.555556
3/13/2019,46,18,27.77777778,-28,35,37,277.7777778,-280
3/12/2019,36,25,-26.53061224,-3.846153846,46,18,-265.3061224,-38.46153846
3/11/2019,49,26,-12.5,-10.34482759,36,25,-125,-103.4482759
3/10/2019,56,29,9.803921569,-9.375,49,26,98.03921569,-93.75
3/9/2019,51,32,10.86956522,-15.78947368,56,29,108.6956522,-157.8947368
3/8/2019,46,38,4.545454545,40.74074074,51,32,45.45454545,407.4074074
3/7/2019,44,27,2.325581395,-25,46,38,23.25581395,-250
3/6/2019,43,36,13.15789474,-10,44,27,131.5789474,-100
3/5/2019,38,40,2.702702703,5.263157895,43,36,27.02702703,52.63157895
3/4/2019,37,38,-2.631578947,-2.564102564,38,40,-26.31578947,-25.64102564
3/3/2019,38,39,-15.55555556,34.48275862,37,38,-155.5555556,344.8275862
3/2/2019,45,29,25,-12.12121212,38,39,250,-121.2121212
3/1/2019,36,33,5.882352941,22.22222222,45,29,58.82352941,222.2222222
2/28/2019,34,27,-12.82051282,-27.02702703,36,33,-128.2051282,-270.2702703
2/27/2019,39,37,5.405405405,2.777777778,34,27,54.05405405,27.77777778
2/26/2019,37,36,-26,20,39,37,-260,200
2/25/2019,50,30,8.695652174,30.43478261,37,36,86.95652174,304.3478261
2/24/2019,46,23,-14.81481481,-8,50,30,-148.1481481,-80
2/23/2019,54,25,25.58139535,-16.66666667,46,23,255.8139535,-166.6666667
2/22/2019,43,30,-10.41666667,-21.05263158,54,25,-104.1666667,-210.5263158
2/21/2019,48,38,0.1,18.75,43,30,1,187.5
2/20/2019,48,32,6.666666667,18.51851852,48,38,66.66666667,185.1851852
2/19/2019,45,27,0.1,0.1,48,32,1,1
2/18/2019,45,27,0.1,-20.58823529,45,27,1,-205.8823529
2/17/2019,45,34,-8.163265306,25.92592593,45,27,-81.63265306,259.2592593
2/16/2019,49,27,6.52173913,3.846153846,45,34,65.2173913,38.46153846
2/15/2019,46,26,53.33333333,-13.33333333,49,27,533.3333333,-133.3333333
2/14/2019,30,30,-21.05263158,3.448275862,46,26,-210.5263158,34.48275862
2/13/2019,38,29,-2.564102564,-6.451612903,30,30,-25.64102564,-64.51612903
2/12/2019,39,31,-15.2173913,-20.51282051,38,29,-152.173913,-205.1282051
2/11/2019,46,39,-4.166666667,5.405405405,39,31,-41.66666667,54.05405405
2/10/2019,48,37,-7.692307692,-11.9047619,46,39,-76.92307692,-119.047619
2/9/2019,52,42,8.333333333,16.66666667,48,37,83.33333333,166.6666667
2/8/2019,48,36,0.1,12.5,52,42,1,125
2/7/2019,48,32,14.28571429,-13.51351351,48,36,142.8571429,-135.1351351
2/6/2019,42,37,2.43902439,2.777777778,48,32,24.3902439,27.77777778
2/5/2019,41,36,7.894736842,56.52173913,42,37,78.94736842,565.2173913
2/4/2019,38,23,52,-54.90196078,41,36,520,-549.0196078
2/3/2019,25,51,-16.66666667,-15,38,23,-166.6666667,-150
2/2/2019,30,60,20,13.20754717,25,51,200,132.0754717
2/1/2019,25,53,-3.846153846,17.77777778,30,60,-38.46153846,177.7777778
1/31/2019,26,45,-25.71428571,9.756097561,25,53,-257.1428571,97.56097561
1/30/2019,35,41,25,-14.58333333,26,45,250,-145.8333333
1/29/2019,28,48,-33.33333333,33.33333333,35,41,-333.3333333,333.3333333
1/28/2019,42,36,13.51351351,-12.19512195,28,48,135.1351351,-121.9512195
1/27/2019,37,41,-22.91666667,24.24242424,42,36,-229.1666667,242.4242424
1/26/2019,48,33,20,-8.333333333,37,41,200,-83.33333333
1/25/2019,40,36,2.564102564,0.1,48,33,25.64102564,1
1/24/2019,39,36,2.631578947,2.857142857,40,36,26.31578947,28.57142857
1/23/2019,38,35,-7.317073171,-18.60465116,39,36,-73.17073171,-186.0465116
1/22/2019,41,43,24.24242424,-21.81818182,38,35,242.4242424,-218.1818182
1/21/2019,33,55,-26.66666667,96.42857143,41,43,-266.6666667,964.2857143
1/20/2019,45,28,87.5,-34.88372093,33,55,875,-348.8372093
1/19/2019,24,43,-31.42857143,-4.444444444,45,28,-314.2857143,-44.44444444
1/18/2019,35,45,-14.63414634,15.38461538,24,43,-146.3414634,153.8461538
1/17/2019,41,39,-8.888888889,-17.0212766,35,45,-88.88888889,-170.212766
1/16/2019,45,47,40.625,4.444444444,41,39,406.25,44.44444444
1/15/2019,32,45,-3.03030303,9.756097561,45,47,-30.3030303,97.56097561
1/14/2019,33,41,3.125,10.81081081,32,45,31.25,108.1081081
1/13/2019,32,37,0.1,-11.9047619,33,41,1,-119.047619
1/12/2019,32,42,-8.571428571,7.692307692,32,37,-85.71428571,76.92307692
1/11/2019,35,39,-22.22222222,25.80645161,32,42,-222.2222222,258.0645161
1/10/2019,45,31,0.1,3.333333333,35,39,1,33.33333333
1/9/2019,45,30,-2.173913043,-18.91891892,45,31,-21.73913043,-189.1891892
1/8/2019,46,37,17.94871795,19.35483871,45,30,179.4871795,193.5483871
1/7/2019,39,31,-13.33333333,24,46,37,-133.3333333,240
1/6/2019,45,25,15.38461538,-21.875,39,31,153.8461538,-218.75
1/5/2019,39,32,0.1,-13.51351351,45,25,1,-135.1351351
1/4/2019,39,37,2.631578947,2.777777778,39,32,26.31578947,27.77777778
1/3/2019,38,36,-9.523809524,12.5,39,37,-95.23809524,125
1/2/2019,42,32,0.1,-23.80952381,38,36,1,-238.0952381
1/1/2019,42,42,13.51351351,-10.63829787,42,32,135.1351351,-106.3829787
12/31/2018,37,47,-17.77777778,23.68421053,42,42,-177.7777778,236.8421053
12/30/2018,45,38,25,-7.317073171,37,47,250,-73.17073171
12/29/2018,36,41,-2.702702703,-10.86956522,45,38,-27.02702703,-108.6956522
12/28/2018,37,46,15.625,15,36,41,156.25,150
12/27/2018,32,40,-38.46153846,-16.66666667,37,46,-384.6153846,-166.6666667
12/26/2018,52,48,73.33333333,20,32,40,733.3333333,200
12/25/2018,30,40,-28.57142857,48.14814815,52,48,-285.7142857,481.4814815
12/24/2018,42,27,10.52631579,-35.71428571,30,40,105.2631579,-357.1428571
12/23/2018,38,42,8.571428571,7.692307692,42,27,85.71428571,76.92307692
12/22/2018,35,39,-10.25641026,14.70588235,38,42,-102.5641026,147.0588235
12/21/2018,39,34,-11.36363636,3.03030303,35,39,-113.6363636,30.3030303
12/20/2018,44,33,2.325581395,-10.81081081,39,34,23.25581395,-108.1081081
12/19/2018,43,37,43.33333333,-15.90909091,44,33,433.3333333,-159.0909091
12/18/2018,30,44,-18.91891892,0.1,43,37,-189.1891892,1
12/17/2018,37,44,0.1,4.761904762,30,44,1,47.61904762
12/16/2018,37,42,-7.5,23.52941176,37,44,-75,235.2941176
12/15/2018,40,34,8.108108108,-12.82051282,37,42,81.08108108,-128.2051282
12/14/2018,37,39,-5.128205128,-2.5,40,34,-51.28205128,-25
12/13/2018,39,40,30,-18.36734694,37,39,300,-183.6734694
12/12/2018,30,49,20,2.083333333,39,40,200,20.83333333
12/11/2018,25,48,-46.80851064,20,30,49,-468.0851064,200
12/10/2018,47,40,56.66666667,-13.04347826,25,48,566.6666667,-130.4347826
12/9/2018,30,46,7.142857143,-16.36363636,47,40,71.42857143,-163.6363636
12/8/2018,28,55,-22.22222222,3.773584906,30,46,-222.2222222,37.73584906
12/7/2018,36,53,-2.702702703,51.42857143,28,55,-27.02702703,514.2857143
12/6/2018,37,35,27.5862069,-28.57142857,36,53,275.862069,-285.7142857
12/5/2018,29,49,7.407407407,13.95348837,37,35,74.07407407,139.5348837
12/4/2018,27,43,-25,13.15789474,29,49,-250,131.5789474
12/3/2018,36,38,-7.692307692,-19.14893617,27,43,-76.92307692,-191.4893617
12/2/2018,39,47,30,-7.843137255,36,38,300,-78.43137255
12/1/2018,30,51,-33.33333333,50,39,47,-333.3333333,500
11/30/2018,45,34,9.756097561,6.25,30,51,97.56097561,62.5
11/29/2018,41,32,32.25806452,-23.80952381,45,34,322.5806452,-238.0952381
11/28/2018,31,42,-31.11111111,5,41,32,-311.1111111,50
11/27/2018,45,40,2.272727273,-13.04347826,31,42,22.72727273,-130.4347826
11/26/2018,44,46,22.22222222,17.94871795,45,40,222.2222222,179.4871795
11/25/2018,36,39,9.090909091,-4.87804878,44,46,90.90909091,-48.7804878
11/24/2018,33,41,13.79310345,13.88888889,36,39,137.9310345,138.8888889
11/23/2018,29,36,3.571428571,-16.27906977,33,41,35.71428571,-162.7906977
11/22/2018,28,43,-9.677419355,2.380952381,29,36,-96.77419355,23.80952381
11/21/2018,31,42,6.896551724,-4.545454545,28,43,68.96551724,-45.45454545
11/20/2018,29,44,-19.44444444,-8.333333333,31,42,-194.4444444,-83.33333333
11/19/2018,36,48,12.5,41.17647059,29,44,125,411.7647059
11/18/2018,32,34,14.28571429,-24.44444444,36,48,142.8571429,-244.4444444
11/17/2018,28,45,-22.22222222,9.756097561,32,34,-222.2222222,97.56097561
11/16/2018,36,41,-7.692307692,-10.86956522,28,45,-76.92307692,-108.6956522
11/15/2018,39,46,-7.142857143,24.32432432,36,41,-71.42857143,243.2432432
11/14/2018,42,37,-27.5862069,85,39,46,-275.862069,850
11/13/2018,58,20,26.08695652,-13.04347826,42,37,260.8695652,-130.4347826
11/12/2018,46,23,0.1,0.1,58,20,1,1
11/11/2018,46,23,48.38709677,-39.47368421,46,23,483.8709677,-394.7368421
