Date,trfee,trfeevar,Value
5/27/2019,128.1188018,-33.23082797,95.88613898
5/26/2019,191.8831668,17.02839339,128.1188018
5/25/2019,163.9629164,-7.228425349,191.8831668
5/24/2019,176.7383135,-12.71380941,163.9629164
5/23/2019,202.4814146,8.802531481,176.7383135
5/22/2019,186.0999113,48.08937697,202.4814146
5/21/2019,125.667293,-6.766233367,186.0999113
5/20/2019,134.7873175,-40.6919812,125.667293
5/19/2019,227.2665994,-0.546655934,134.7873175
5/18/2019,228.5157945,18.79647266,227.2665994
5/17/2019,192.3590738,44.97107884,228.5157945
5/16/2019,132.6878956,18.259626,192.3590738
5/15/2019,112.2005034,7.802014216,132.6878956
5/14/2019,104.0801549,-16.81798147,112.2005034
5/13/2019,125.1233821,1.115019708,104.0801549
5/12/2019,123.7436164,15.69522258,125.1233821
5/11/2019,106.9565481,-4.764683435,123.7436164
5/10/2019,112.3076522,21.65128726,106.9565481
5/9/2019,92.31932906,20.97665834,112.3076522
5/8/2019,76.31168717,21.37568111,92.31932906
5/7/2019,62.87230397,3.699786978,76.31168717
5/6/2019,60.62915441,-25.39993199,62.87230397
5/5/2019,81.27225085,25.59299522,60.62915441
5/4/2019,64.71081505,-1.393372693,81.27225085
5/3/2019,65.62521893,-23.23156179,64.71081505
5/2/2019,85.48463465,20.47776289,65.62521893
5/1/2019,70.95469952,47.96430437,85.48463465
4/30/2019,47.95393039,-11.88329047,70.95469952
4/29/2019,54.42092725,-40.48939817,47.95393039
4/28/2019,91.44744899,-3.025875278,54.42092725
4/27/2019,94.30087588,-27.83552402,91.44744899
4/26/2019,130.6749264,35.44080338,94.30087588
4/25/2019,96.48121035,37.58082097,130.6749264
4/24/2019,70.12693315,39.38189683,96.48121035
4/23/2019,50.31279868,-13.38974084,70.12693315
4/22/2019,58.09103814,-25.9354795,50.31279868
4/21/2019,78.43301725,8.303597041,58.09103814
4/20/2019,72.4195866,-6.131217314,78.43301725
4/19/2019,77.14980905,0.758946434,72.4195866
4/18/2019,76.56869368,-3.040442229,77.14980905
4/17/2019,78.96972247,37.52103951,76.56869368
4/16/2019,57.42373876,-13.28495371,78.96972247
4/15/2019,66.22119369,-34.15132203,57.42373876
4/14/2019,100.5657148,-12.76781077,66.22119369
4/13/2019,115.285098,3.130733976,100.5657148
4/12/2019,111.7853946,-2.732348208,115.285098
4/11/2019,114.9255611,-11.96441552,111.7853946
4/10/2019,130.5444404,52.65419501,114.9255611
4/9/2019,85.51644481,5.77487502,130.5444404
4/8/2019,80.84759712,-29.58941514,85.51644481
4/7/2019,114.8230728,-25.66331186,80.84759712
4/6/2019,154.4635303,8.698298476,114.8230728
4/5/2019,142.1029882,24.11848232,154.4635303
4/4/2019,114.4897888,85.11855884,142.1029882
4/3/2019,61.8467373,38.65580098,114.4897888
4/2/2019,44.60450761,-18.4169282,61.8467373
4/1/2019,54.67372903,-13.87534202,44.60450761
3/31/2019,63.48208552,32.76074443,54.67372903
