Date,ntrbl,ntrblvar,Value
5/27/2019,2417.128571,-1.086259454,2267.10303
5/26/2019,2443.673203,-0.83284764,2417.128571
5/25/2019,2464.196203,4.212284989,2443.673203
5/24/2019,2364.592814,-5.01623817,2464.196203
5/23/2019,2364.592814,-5.01623817,2364.592814
5/22/2019,2364.592814,-5.01623817,2489.470588
5/21/2019,2364.592814,-5.01623817,2370.074534
5/20/2019,2364.592814,-5.01623817,2127.969325
5/19/2019,2364.592814,-5.01623817,2351.006536
5/18/2019,2364.592814,-5.01623817,2395.059603
5/17/2019,2364.592814,-5.01623817,2568.917808
5/16/2019,2364.592814,-5.01623817,2475.845638
5/15/2019,2364.592814,-5.01623817,2416.907895
5/14/2019,2364.592814,-5.01623817,2337.892216
5/13/2019,2364.592814,-5.01623817,2142.85443
5/12/2019,2364.592814,-5.01623817,2653.515385
5/11/2019,2364.592814,-5.01623817,2583.704
5/10/2019,2364.592814,-5.01623817,2410.46
5/9/2019,2364.592814,-5.01623817,2586.059211
5/8/2019,2364.592814,-5.01623817,2597.976378
5/7/2019,2364.592814,-5.01623817,2506.463576
5/6/2019,2364.592814,-5.01623817,2563.813953
5/5/2019,2364.592814,-5.01623817,2696.287879
5/4/2019,2364.592814,-5.01623817,2519.947368
5/3/2019,2364.592814,-5.01623817,2460.032609
5/2/2019,2364.592814,-5.01623817,2570.461988
5/1/2019,2364.592814,-5.01623817,2474.9
4/30/2019,2364.592814,-5.01623817,2228.263804
4/29/2019,2364.592814,-5.01623817,2351.478528
4/28/2019,2364.592814,-5.01623817,2620.49635
4/27/2019,2364.592814,-5.01623817,2524.562914
4/26/2019,2364.592814,-5.01623817,2685.937063
4/25/2019,2364.592814,-5.01623817,2480.239264
4/24/2019,2364.592814,-5.01623817,2687.525862
4/23/2019,2364.592814,-5.01623817,2552.343284
4/22/2019,2364.592814,-5.01623817,2411.944444
4/21/2019,2364.592814,-5.01623817,2441.526718
4/20/2019,2364.592814,-5.01623817,2382.421053
4/19/2019,2364.592814,-5.01623817,2570.342282
4/18/2019,2364.592814,-5.01623817,2541.572464
4/17/2019,2364.592814,-5.01623817,2472.531034
4/16/2019,2364.592814,-5.01623817,2630.848276
4/15/2019,2364.592814,-5.01623817,2762.540984
4/14/2019,2364.592814,-5.01623817,2719.081481
4/13/2019,2364.592814,-5.01623817,2495.145695
4/12/2019,2364.592814,-5.01623817,2565.617834
4/11/2019,2364.592814,-5.01623817,2679.060811
4/10/2019,2364.592814,-5.01623817,2621.75
4/9/2019,2364.592814,-5.01623817,2516.331081
4/8/2019,2364.592814,-5.01623817,2486.744681
4/7/2019,2364.592814,-5.01623817,2586.827338
4/6/2019,2364.592814,-5.01623817,2449.936709
4/5/2019,2364.592814,-5.01623817,2533.285714
4/4/2019,2364.592814,-5.01623817,2536.971831
4/3/2019,2364.592814,-5.01623817,2557.369427
4/2/2019,2364.592814,-5.01623817,2712.529412
4/1/2019,2364.592814,-5.01623817,2745.697842
3/31/2019,2364.592814,-5.01623817,2717.863309
3/30/2019,2364.592814,-5.01623817,2515.761905
3/29/2019,2364.592814,-5.01623817,2696.561644
3/28/2019,2364.592814,-5.01623817,2571.718121
3/27/2019,2364.592814,-5.01623817,2734.440299
3/26/2019,2364.592814,-5.01623817,2176.966216
3/25/2019,2364.592814,-5.01623817,1507.773333
3/24/2019,2364.592814,-5.01623817,1734.986207
3/23/2019,2364.592814,-5.01623817,1854.186335
3/22/2019,2364.592814,-5.01623817,2102.881119
3/21/2019,2364.592814,-5.01623817,1894.161491
3/20/2019,2364.592814,-5.01623817,1751.402299
3/19/2019,2364.592814,-5.01623817,1810.590062
3/18/2019,2364.592814,-5.01623817,1556.780822
3/17/2019,2364.592814,-5.01623817,1609
3/16/2019,2364.592814,-5.01623817,1940.980392
3/15/2019,2364.592814,-5.01623817,1935.025806
3/14/2019,2364.592814,-5.01623817,2118.2
3/13/2019,2364.592814,-5.01623817,1997.573427
3/12/2019,2364.592814,-5.01623817,2075.640845
3/11/2019,2364.592814,-5.01623817,1565.272059
3/10/2019,2364.592814,-5.01623817,1735.449275
3/9/2019,2364.592814,-5.01623817,1953.863014
3/8/2019,2364.592814,-5.01623817,1989.598592
3/7/2019,2364.592814,-5.01623817,2170.804688
3/6/2019,2364.592814,-5.01623817,1917.557047
3/5/2019,2364.592814,-5.01623817,2220.350365
3/4/2019,2364.592814,-5.01623817,2422.486301
3/3/2019,2364.592814,-5.01623817,2544.424242
3/2/2019,2364.592814,-5.01623817,2187.790123
3/1/2019,2364.592814,-5.01623817,2452.18
2/28/2019,2364.592814,-5.01623817,2443.687943
2/27/2019,2364.592814,-5.01623817,2276.819876
2/26/2019,2364.592814,-5.01623817,2354.083916
2/25/2019,2364.592814,-5.01623817,2339.021898
2/24/2019,2364.592814,-5.01623817,2295.377622
2/23/2019,2364.592814,-5.01623817,2162.382716
2/22/2019,2364.592814,-5.01623817,2500.798319
2/21/2019,2364.592814,-5.01623817,2417.846154
2/20/2019,2364.592814,-5.01623817,2232.320513
2/19/2019,2364.592814,-5.01623817,2221.122581
2/18/2019,2364.592814,-5.01623817,2059.515723
2/17/2019,2364.592814,-5.01623817,2214.246667
2/16/2019,2364.592814,-5.01623817,2336.448819
2/15/2019,2364.592814,-5.01623817,2514.06383
2/14/2019,2364.592814,-5.01623817,2304.908497
2/13/2019,2364.592814,-5.01623817,2121.664063
2/12/2019,2364.592814,-5.01623817,2177.413793
2/11/2019,2364.592814,-5.01623817,2140.064286
2/10/2019,2364.592814,-5.01623817,2072.613333
2/9/2019,2364.592814,-5.01623817,2056.932515
2/8/2019,2364.592814,-5.01623817,2029
2/7/2019,2364.592814,-5.01623817,2131.682927
2/6/2019,2364.592814,-5.01623817,2408.632653
2/5/2019,2364.592814,-5.01623817,2280.870748
2/4/2019,2364.592814,-5.01623817,2175.152174
2/3/2019,2364.592814,-5.01623817,2236.333333
2/2/2019,2364.592814,-5.01623817,2147.727848
2/1/2019,2364.592814,-5.01623817,2283.516129
1/31/2019,2364.592814,-5.01623817,2367.5
1/30/2019,2364.592814,-5.01623817,2233.986301
1/29/2019,2364.592814,-5.01623817,2124.565517
1/28/2019,2364.592814,-5.01623817,2019.350365
1/27/2019,2364.592814,-5.01623817,1921.9
1/26/2019,2364.592814,-5.01623817,2181.775362
1/25/2019,2364.592814,-5.01623817,1902.135802
1/24/2019,2364.592814,-5.01623817,2010.232877
1/23/2019,2364.592814,-5.01623817,2277.230769
1/22/2019,2364.592814,-5.01623817,2101.346667
1/21/2019,2364.592814,-5.01623817,1873.363057
1/20/2019,2364.592814,-5.01623817,2121.714286
1/19/2019,2364.592814,-5.01623817,2217.137681
1/18/2019,2364.592814,-5.01623817,2336.181102
1/17/2019,2364.592814,-5.01623817,2298.511278
1/16/2019,2364.592814,-5.01623817,2289.992424
1/15/2019,2364.592814,-5.01623817,2192.516779
1/14/2019,2364.592814,-5.01623817,2021.875912
1/13/2019,2364.592814,-5.01623817,2039.869565
1/12/2019,2364.592814,-5.01623817,2083.594595
1/11/2019,2364.592814,-5.01623817,2098.320513
1/10/2019,2364.592814,-5.01623817,1945.463415
1/9/2019,2364.592814,-5.01623817,1884.757396
1/8/2019,2364.592814,-5.01623817,2019.730496
1/7/2019,2364.592814,-5.01623817,1833.489362
1/6/2019,2364.592814,-5.01623817,1626.944785
1/5/2019,2364.592814,-5.01623817,1891.087248
1/4/2019,2364.592814,-5.01623817,1877.522581
1/3/2019,2364.592814,-5.01623817,1799.311258
1/2/2019,2364.592814,-5.01623817,1575.33557
1/1/2019,2364.592814,-5.01623817,1675.380645
12/31/2018,2364.592814,-5.01623817,1520.676136
12/30/2018,2364.592814,-5.01623817,1920.144928
12/29/2018,2364.592814,-5.01623817,1845.91018
12/28/2018,2364.592814,-5.01623817,1724.252874
12/27/2018,2364.592814,-5.01623817,1791.751592
12/26/2018,2364.592814,-5.01623817,1666.993711
12/25/2018,2364.592814,-5.01623817,1791.427632
12/24/2018,2364.592814,-5.01623817,1424.653409
12/23/2018,2364.592814,-5.01623817,1435.52
12/22/2018,2364.592814,-5.01623817,2004.2
12/21/2018,2364.592814,-5.01623817,2127.948148
12/20/2018,2364.592814,-5.01623817,2029.47651
12/19/2018,2364.592814,-5.01623817,2080.039063
12/18/2018,2364.592814,-5.01623817,1867.64375
12/17/2018,2364.592814,-5.01623817,1969.156522
12/16/2018,2364.592814,-5.01623817,1764.288591
12/15/2018,2364.592814,-5.01623817,1889.047945
12/14/2018,2364.592814,-5.01623817,2049.022901
12/13/2018,2364.592814,-5.01623817,2178.525
12/12/2018,2364.592814,-5.01623817,2011.896
12/11/2018,2364.592814,-5.01623817,2083.491935
12/10/2018,2364.592814,-5.01623817,1863.820313
12/9/2018,2364.592814,-5.01623817,1819.716535
12/8/2018,2364.592814,-5.01623817,2227.105263
12/7/2018,2364.592814,-5.01623817,2071.511111
12/6/2018,2364.592814,-5.01623817,1973.084615
12/5/2018,2364.592814,-5.01623817,1957.891304
12/4/2018,2364.592814,-5.01623817,2110.982456
12/3/2018,2364.592814,-5.01623817,1953.27193
12/2/2018,2364.592814,-5.01623817,1950.379032
12/1/2018,2364.592814,-5.01623817,2476.80198
11/30/2018,2364.592814,-5.01623817,2345.009524
11/29/2018,2364.592814,-5.01623817,2156.40678
11/28/2018,2364.592814,-5.01623817,2049.870229
11/27/2018,2364.592814,-5.01623817,2315.873874
11/26/2018,2364.592814,-5.01623817,1883.905512
11/25/2018,2364.592814,-5.01623817,1748.370629
11/24/2018,2364.592814,-5.01623817,2202.088
11/23/2018,2364.592814,-5.01623817,2181.278689
11/22/2018,2364.592814,-5.01623817,2428.019048
11/21/2018,2364.592814,-5.01623817,2185.227273
11/20/2018,2364.592814,-5.01623817,2126.753968
11/19/2018,2364.592814,-5.01623817,1949.617886
11/18/2018,2364.592814,-5.01623817,1811.372414
11/17/2018,2364.592814,-5.01623817,2247.015873
11/16/2018,2364.592814,-5.01623817,2295.472441
11/15/2018,2364.592814,-5.01623817,2168.555556
11/14/2018,2364.592814,-5.01623817,2326.333333
11/13/2018,2364.592814,-5.01623817,2142.9
11/12/2018,2364.592814,-5.01623817,1691.719178
11/11/2018,2364.592814,-5.01623817,1927.473282
11/10/2018,2364.592814,-5.01623817,2235.401575
11/9/2018,2364.592814,-5.01623817,2294.190083
11/8/2018,2364.592814,-5.01623817,2259.492308
11/7/2018,2364.592814,-5.01623817,2230.085938
11/6/2018,2364.592814,-5.01623817,2057.520833
11/5/2018,2364.592814,-5.01623817,1839.406504
11/4/2018,2364.592814,-5.01623817,1550.086957
11/3/2018,2364.592814,-5.01623817,2046.881119
11/2/2018,2364.592814,-5.01623817,1830.785714
11/1/2018,2364.592814,-5.01623817,1768.607362
10/31/2018,2364.592814,-5.01623817,1839.785714
10/30/2018,2364.592814,-5.01623817,1847.630137
10/29/2018,2364.592814,-5.01623817,1570.428571
10/28/2018,2364.592814,-5.01623817,1718.742647
10/27/2018,2364.592814,-5.01623817,1769.244755
10/26/2018,2364.592814,-5.01623817,1858.386861
10/25/2018,2364.592814,-5.01623817,2248.59292
10/24/2018,2364.592814,-5.01623817,1645.863636
10/23/2018,2364.592814,-5.01623817,1647.251613
10/22/2018,2364.592814,-5.01623817,1532.644928
10/21/2018,2364.592814,-5.01623817,1593.153846
10/20/2018,2364.592814,-5.01623817,1787.507042
10/19/2018,2364.592814,-5.01623817,1836.594203
10/18/2018,2364.592814,-5.01623817,1886.681159
10/17/2018,2364.592814,-5.01623817,1910.866667
10/16/2018,2364.592814,-5.01623817,1647.808642
10/15/2018,2364.592814,-5.01623817,1677.710526
10/14/2018,2364.592814,-5.01623817,1454.588652
10/13/2018,2364.592814,-5.01623817,1842.227273
10/12/2018,2364.592814,-5.01623817,1650.735849
10/11/2018,2364.592814,-5.01623817,1701.006944
10/10/2018,2364.592814,-5.01623817,1814.323077
10/9/2018,2364.592814,-5.01623817,1837.340741
