date,open,close,volume,pricevar,classes,,prevopen,prevclose,logprevvol,prevpricevar,prevclasses,classes,
4-Feb-14,823.77,827.96,"16,609,700",0.50863712,4,,824.08,823.83,16.45028014,-0.03033686,3,4,
5-Feb-14,829.96,811.91,"22,395,100",-2.174803605,2,,823.77,827.96,16.62549742,0.50863712,4,2,
6-Feb-14,815.59,781.55,"50,108,700",-4.17366569,1,,829.96,811.91,16.92435274,-2.174803605,2,1,
7-Feb-14,783.2,712.4,"113,643,000",-9.039836568,1,,815.59,781.55,17.7297052,-4.17366569,1,1,
8-Feb-14,699.57,673.92,"38,742,600",-3.666538016,1,,783.2,712.4,18.54857251,-9.039836568,1,1,
9-Feb-14,671.46,682.9,"39,311,400",1.703750037,5,,699.57,673.92,17.47245033,-3.666538016,1,5,
10-Feb-14,681.32,681.03,"112,758,000",-0.042564434,3,,671.46,682.9,17.48702511,1.703750037,5,3,
11-Feb-14,683.5,672.17,"72,745,200",-1.657644477,2,,681.32,681.03,18.54075449,-0.042564434,3,2,
12-Feb-14,672.38,651.72,"25,367,600",-3.072667242,2,,683.5,672.17,18.10247348,-1.657644477,2,2,
13-Feb-14,651.08,605.24,"38,588,100",-7.040609449,1,,672.38,651.72,17.04898333,-3.072667242,2,1,
14-Feb-14,601.17,661.99,"102,506,000",10.11693864,6,,651.08,605.24,17.4684545,-7.040609449,1,6,
15-Feb-14,660.9,650.92,"26,709,200",-1.510062037,2,,601.17,661.99,18.44543189,10.11693864,6,2,
16-Feb-14,651.3,616.63,"40,061,700",-5.323199754,1,,660.9,650.92,17.10051863,-1.510062037,2,1,
17-Feb-14,614.23,626.27,"31,948,400",1.960177784,5,,651.3,616.63,17.50593132,-5.323199754,1,5,
18-Feb-14,627.16,626.6,"20,015,100",-0.089291409,3,,614.23,626.27,17.27963266,1.960177784,5,3,
19-Feb-14,625.97,623.03,"13,897,800",-0.46967107,3,,627.16,626.6,16.81199755,-0.089291409,3,3,
20-Feb-14,623.09,556.14,"46,905,000",-10.74483622,1,,625.97,623.03,16.44724111,-0.46967107,3,1,
21-Feb-14,556.88,574.16,"47,308,100",3.103002442,5,,623.09,556.14,17.66363484,-10.74483622,1,5,
22-Feb-14,574.24,605.42,"31,254,000",5.429785456,6,,556.88,574.16,17.67219209,3.103002442,5,6,
23-Feb-14,606.47,605.82,"31,434,400",-0.107177602,3,,574.24,605.42,17.25765793,5.429785456,6,3,
24-Feb-14,606.04,546.32,"57,893,900",-9.854135041,1,,606.47,605.82,17.26341339,-0.107177602,3,1,
25-Feb-14,540.24,538.71,"126,314,000",-0.283207463,3,,606.04,546.32,17.87412258,-9.854135041,1,3,
26-Feb-14,537.04,582.69,"64,642,700",8.500297929,6,,540.24,538.71,18.65428143,-0.283207463,3,6,
27-Feb-14,581.65,578.77,"25,540,800",-0.495143127,3,,537.04,582.69,17.98438574,8.500297929,6,3,
28-Feb-14,579.7,549.26,"28,076,100",-5.250991892,1,,581.65,578.77,17.05578773,-0.495143127,3,1,
1-Mar-14,549.92,565.61,"18,668,100",2.853142275,5,,579.7,549.26,17.15042924,-5.250991892,1,5,
2-Mar-14,567.23,559.79,"7,950,760",-1.311637255,3,,549.92,565.61,16.74232674,2.853142275,5,3,
3-Mar-14,562.56,667.76,"96,056,896",18.70022753,6,,567.23,559.79,15.88877808,-1.311637255,3,6,
4-Mar-14,668.24,666.78,"55,344,600",-0.218484377,3,,562.56,667.76,18.38045124,18.70022753,6,3,
5-Mar-14,666.24,665.51,"22,461,900",-0.109570125,3,,668.24,666.78,17.82908965,-0.218484377,3,3,
6-Mar-14,664.52,663.86,"16,068,100",-0.09931981,3,,666.24,665.51,16.9273311,-0.109570125,3,3,
7-Mar-14,664.31,629.15,"34,150,800",-5.292709729,1,,664.52,663.86,16.5923465,-0.09931981,3,1,
8-Mar-14,629.66,617.45,"18,654,200",-1.939141759,2,,664.31,629.15,17.34629657,-5.292709729,1,2,
9-Mar-14,616.31,636.96,"15,396,500",3.350586555,5,,629.66,617.45,16.74158188,-1.939141759,2,5,
10-Mar-14,636.33,627.79,"20,639,800",-1.342070938,3,,616.31,636.96,16.54965077,3.350586555,5,3,
11-Mar-14,627.95,634.11,"11,732,500",0.980969822,4,,636.33,627.79,16.84273181,-1.342070938,3,4,
12-Mar-14,631.91,632.1,"18,621,200",0.030067573,4,,627.95,634.11,16.27787333,0.980969822,4,4,
13-Mar-14,633.62,638.14,"11,634,900",0.713361321,4,,631.91,632.1,16.73981127,0.030067573,4,4,
14-Mar-14,638.14,628.8,"11,913,800",-1.463628671,3,,633.62,638.14,16.26951976,0.713361321,4,3,
15-Mar-14,629.37,636.12,"4,342,080",1.072501073,4,,638.14,628.8,16.29320795,-1.463628671,3,4,
16-Mar-14,636.5,631.11,"5,277,290",-0.846818539,3,,629.37,636.12,15.28386405,1.072501073,4,3,
17-Mar-14,630.92,622.37,"14,648,200",-1.355163888,3,,636.5,631.11,15.47892327,-0.846818539,3,3,
18-Mar-14,621.84,614.83,"24,011,500",-1.127299627,3,,630.92,622.37,16.49982802,-1.355163888,3,3,
19-Mar-14,613.9,609.89,"14,228,900",-0.653200847,3,,621.84,614.83,16.99404344,-1.127299627,3,3,
20-Mar-14,609.74,588.77,"20,572,900",-3.439170794,2,,613.9,609.89,16.47078567,-0.653200847,3,2,
21-Mar-14,588.29,571.49,"38,414,100",-2.855734417,2,,609.74,588.77,16.83948523,-3.439170794,2,2,
22-Mar-14,571.18,565.04,"17,360,700",-1.074967611,3,,588.29,571.49,17.46393514,-2.855734417,2,3,
23-Mar-14,565.76,561.27,"9,288,400",-0.793622738,3,,571.18,565.04,16.66971959,-1.074967611,3,3,
24-Mar-14,562.51,583.41,"22,706,900",3.715489502,6,,565.76,561.27,16.04427687,-0.793622738,3,6,
25-Mar-14,585.03,583.92,"14,020,100",-0.18973386,3,,562.51,583.41,16.9381794,3.715489502,6,3,
26-Mar-14,583.48,580.83,"16,401,100",-0.454171523,3,,585.03,583.92,16.45600257,-0.18973386,3,3,
27-Mar-14,580.26,471.24,"62,225,400",-18.78812946,1,,583.48,580.83,16.61285896,-0.454171523,3,1,
28-Mar-14,477.14,495.67,"58,828,300",3.883556189,6,,580.26,471.24,17.94627383,-18.78812946,1,6,
29-Mar-14,501.71,491.17,"11,147,100",-2.100815212,2,,477.14,495.67,17.89013359,3.883556189,6,2,
30-Mar-14,492.37,460.27,"42,958,300",-6.519487377,1,,501.71,491.17,16.22668993,-2.100815212,2,1,
31-Mar-14,462.3,457,"28,254,000",-1.146441705,3,,492.37,460.27,17.57574044,-6.519487377,1,3,
1-Apr-14,457,478.38,"35,685,800",4.67833698,6,,462.3,457,17.1567456,-1.146441705,3,6,
2-Apr-14,479.14,437.14,"49,647,600",-8.765705222,1,,457,478.38,17.39026341,4.67833698,6,1,
3-Apr-14,436.44,444.72,"40,765,500",1.897167996,5,,479.14,437.14,17.72046061,-8.765705222,1,5,
4-Apr-14,445.66,447.53,"22,925,500",0.419602387,4,,436.44,444.72,17.52334669,1.897167996,5,4,
5-Apr-14,446.67,461.91,"13,404,500",3.411914836,5,,445.66,447.53,16.94776039,0.419602387,4,5,
6-Apr-14,463.4,460.5,"10,241,400",-0.625809236,3,,446.67,461.91,16.41110103,3.411914836,5,3,
7-Apr-14,461.47,449.42,"15,616,600",-2.611220664,2,,463.4,460.5,16.14194889,-0.625809236,3,2,
8-Apr-14,447.61,453.09,"10,921,600",1.224280065,4,,461.47,449.42,16.56384501,-2.611220664,2,4,
9-Apr-14,453.18,442.73,"13,204,400",-2.305927005,2,,447.61,453.09,16.20625304,1.224280065,4,2,
10-Apr-14,442.26,365.18,"55,868,300",-17.42866187,1,,453.18,442.73,16.39606067,-2.305927005,2,1,
11-Apr-14,363.71,420.95,"62,562,800",15.73781309,6,,442.26,365.18,17.83850769,-17.42866187,1,6,
12-Apr-14,420.89,421.12,"19,226,500",0.054646107,4,,363.71,420.95,17.95168141,15.73781309,6,4,
13-Apr-14,421.46,414.06,"22,493,500",-1.755801262,2,,420.89,421.12,16.77180009,0.054646107,4,2,
14-Apr-14,414.83,458.79,"50,730,200",10.59711207,6,,421.46,414.06,16.92873694,-1.755801262,2,6,
15-Apr-14,458.37,515.59,"49,561,000",12.48336497,6,,414.83,458.79,17.74203195,10.59711207,6,6,
16-Apr-14,522.18,527.4,"56,480,100",0.999655291,4,,458.37,515.59,17.71871479,12.48336497,6,4,
17-Apr-14,529.07,495.96,"34,025,500",-6.258151095,1,,522.18,527.4,17.84939892,0.999655291,4,1,
18-Apr-14,495.8,479.64,"19,042,400",-3.259378782,2,,529.07,495.96,17.3426208,-6.258151095,1,2,
19-Apr-14,479.58,501.57,"19,588,200",4.585262104,6,,495.8,479.64,16.76217863,-3.259378782,2,6,
20-Apr-14,501.75,498.17,"12,103,100",-0.71350274,3,,479.58,501.57,16.7904379,4.585262104,6,3,
21-Apr-14,497.74,495.77,"15,171,400",-0.395788966,3,,501.75,498.17,16.30897218,-0.71350274,3,3,
22-Apr-14,495.45,487.92,"11,670,900",-1.519830457,2,,497.74,495.77,16.53492263,-0.395788966,3,2,
23-Apr-14,488.36,491.3,"9,814,530",0.602014907,4,,495.45,487.92,16.27260912,-1.519830457,2,4,
24-Apr-14,490.83,500.46,"13,009,400",1.961982764,5,,488.36,491.3,16.0993745,0.602014907,4,5,
25-Apr-14,500.09,461.45,"46,856,500",-7.72660921,1,,490.83,500.46,16.38118273,1.961982764,5,1,
26-Apr-14,461.7,458.6,"12,214,600",-0.671431666,3,,500.09,461.45,17.6626003,-7.72660921,1,3,
27-Apr-14,457.24,436.39,"10,949,500",-4.559968507,1,,461.7,458.6,16.31814252,-0.671431666,3,1,
28-Apr-14,430.72,440.29,"23,876,600",2.22186107,5,,457.24,436.39,16.20880435,-4.559968507,1,5,
29-Apr-14,439.98,447.21,"16,401,400",1.643256512,5,,430.72,440.29,16.98840946,2.22186107,5,5,
30-Apr-14,446.89,447.64,"15,244,900",0.167826534,4,,439.98,447.21,16.61287726,1.643256512,5,4,
1-May-14,447.63,457.76,"12,871,800",2.263029734,5,,446.89,447.64,16.53975558,0.167826534,4,5,
2-May-14,457.36,449.38,"10,394,200",-1.744796222,2,,447.63,457.76,16.37054943,2.263029734,5,2,
3-May-14,449.4,437.76,"9,849,640",-2.59012016,2,,457.36,449.38,16.15675852,-1.744796222,2,2,
4-May-14,438.52,436.4,"5,621,260",-0.483444313,3,,449.4,437.76,16.10294546,-2.59012016,2,3,
5-May-14,434.78,433.48,"10,004,800",-0.299001794,3,,438.52,436.4,15.5420664,-0.483444313,3,3,
