us13wdate,us13wopen,us13whigh,us13wlow,us13wclose,us13wadjclose
14-Mar-11,0.07,0.08,0.065,0.075,0.075
15-Mar-11,0.085,0.1,0.06,0.095,0.095
16-Mar-11,0.09,0.095,0.085,0.085,0.085
17-Mar-11,0.085,0.09,0.065,0.07,0.07
18-Mar-11,0.075,0.075,0.06,0.065,0.065
21-Mar-11,0.07,0.07,0.06,0.07,0.07
22-Mar-11,0.09,0.09,0.09,0.09,0.09
23-Mar-11,0.09,0.09,0.085,0.085,0.085
24-Mar-11,0.09,0.09,0.07,0.08,0.08
25-Mar-11,0.08,0.085,0.07,0.08,0.08
28-Mar-11,0.085,0.09,0.08,0.08,0.08
29-Mar-11,0.095,0.095,0.08,0.095,0.095
30-Mar-11,0.095,0.105,0.095,0.095,0.095
31-Mar-11,0.085,0.09,0.085,0.09,0.09
1-Apr-11,0.045,0.09,0.04,0.055,0.055
4-Apr-11,0.04,0.05,0.025,0.035,0.035
5-Apr-11,0.05,0.07,0.03,0.065,0.065
6-Apr-11,0.06,0.065,0.05,0.05,0.05
7-Apr-11,0.05,0.05,0.035,0.035,0.035
8-Apr-11,0.035,0.04,0.025,0.035,0.035
11-Apr-11,0.03,0.04,0.03,0.035,0.035
12-Apr-11,0.045,0.05,0.045,0.045,0.045
13-Apr-11,0.045,0.06,0.045,0.05,0.05
14-Apr-11,0.05,0.065,0.045,0.065,0.065
15-Apr-11,0.065,0.07,0.06,0.06,0.06
18-Apr-11,0.06,0.065,0.035,0.055,0.055
19-Apr-11,0.06,0.06,0.055,0.055,0.055
20-Apr-11,0.06,0.06,0.055,0.055,0.055
21-Apr-11,0.055,0.06,0.045,0.045,0.045
25-Apr-11,0.05,0.05,0.045,0.045,0.045
26-Apr-11,0.06,0.06,0.055,0.055,0.055
27-Apr-11,0.055,0.055,0.05,0.05,0.05
28-Apr-11,0.045,0.05,0.015,0.035,0.035
29-Apr-11,0.035,0.04,0.035,0.04,0.04
2-May-11,0.04,0.04,0.025,0.03,0.03
3-May-11,0.025,0.03,0.005,0.025,0.025
4-May-11,0.025,0.035,0.02,0.02,0.02
5-May-11,0.015,0.02,0.005,0.01,0.01
6-May-11,0.005,0.015,0.005,0.005,0.005
9-May-11,0.005,0.01,0.005,0.005,0.005
10-May-11,0.03,0.035,0.005,0.025,0.025
11-May-11,0.025,0.03,0.015,0.02,0.02
12-May-11,0.02,0.025,0.015,0.02,0.02
13-May-11,0.02,0.02,0.02,0.02,0.02
16-May-11,0.02,0.025,0.02,0.02,0.02
17-May-11,0.03,0.04,0.03,0.035,0.035
18-May-11,0.035,0.05,0.035,0.04,0.04
19-May-11,0.045,0.055,0.04,0.04,0.04
20-May-11,0.04,0.045,0.04,0.04,0.04
23-May-11,0.04,0.045,0.04,0.045,0.045
24-May-11,0.05,0.05,0.05,0.05,0.05
25-May-11,0.05,0.05,0.045,0.045,0.045
26-May-11,0.045,0.05,0.045,0.045,0.045
27-May-11,0.045,0.05,0.035,0.035,0.035
31-May-11,0.045,0.05,0.04,0.04,0.04
1-Jun-11,0.055,0.055,0.04,0.04,0.04
2-Jun-11,0.035,0.04,0.03,0.035,0.035
3-Jun-11,0.035,0.035,0.025,0.03,0.03
6-Jun-11,0.03,0.03,0.03,0.03,0.03
7-Jun-11,0.04,0.04,0.025,0.04,0.04
8-Jun-11,0.035,0.04,0.035,0.035,0.035
9-Jun-11,0.035,0.04,0.035,0.04,0.04
10-Jun-11,0.035,0.035,0.035,0.035,0.035
13-Jun-11,0.035,0.04,0.035,0.04,0.04
14-Jun-11,0.045,0.055,0.045,0.05,0.05
15-Jun-11,0.05,0.055,0.045,0.045,0.045
16-Jun-11,0.04,0.045,0.035,0.035,0.035
17-Jun-11,0.035,0.035,0.02,0.025,0.025
20-Jun-11,0.025,0.025,0.015,0.015,0.015
21-Jun-11,0.02,0.025,0.02,0.02,0.02
22-Jun-11,0.02,0.02,0.01,0.01,0.01
23-Jun-11,0.005,0.005,0.005,0.005,0.005
24-Jun-11,0.01,0.01,0.01,0.01,0.01
27-Jun-11,0.015,0.02,0.01,0.015,0.015
28-Jun-11,0.025,0.03,0.01,0.025,0.025
29-Jun-11,0.03,0.03,0.005,0.02,0.02
30-Jun-11,0.025,0.025,0.01,0.015,0.015
1-Jul-11,0.025,0.025,0.01,0.01,0.01
5-Jul-11,0.015,0.015,0.005,0.01,0.01
6-Jul-11,0.005,0.01,0.005,0.005,0.005
7-Jul-11,0.01,0.035,0.01,0.02,0.02
8-Jul-11,0.02,0.02,0.015,0.02,0.02
11-Jul-11,0.02,0.02,0.015,0.015,0.015
12-Jul-11,0.03,0.03,0.03,0.03,0.03
13-Jul-11,0.025,0.025,0.005,0.005,0.005
14-Jul-11,0.025,0.025,0.005,0.005,0.005
15-Jul-11,0.005,0.005,0.005,0.005,0.005
18-Jul-11,0.015,0.015,0.005,0.005,0.005
19-Jul-11,0.015,0.03,0.01,0.025,0.025
20-Jul-11,0.02,0.025,0.015,0.02,0.02
21-Jul-11,0.02,0.04,0.02,0.035,0.035
22-Jul-11,0.035,0.035,0.03,0.03,0.03
25-Jul-11,0.04,0.04,0.025,0.035,0.035
26-Jul-11,0.06,0.07,0.035,0.065,0.065
27-Jul-11,0.07,0.075,0.065,0.07,0.07
28-Jul-11,0.07,0.08,0.065,0.065,0.065
29-Jul-11,0.065,0.095,0.065,0.09,0.09
1-Aug-11,0.075,0.09,0.065,0.075,0.075
2-Aug-11,0.085,0.09,0.045,0.05,0.05
3-Aug-11,0.045,0.045,0.005,0.01,0.01
4-Aug-11,0.005,0.01,0.005,0.01,0.01
5-Aug-11,0.01,0.01,0.005,0.01,0.01
8-Aug-11,0.015,0.02,0.005,0.015,0.015
9-Aug-11,0.05,0.05,0.02,0.03,0.03
10-Aug-11,0.025,0.025,0.01,0.015,0.015
